sentence,drug,drug_start,drug_end,effect,effect_start,effect_end
Intravenous azithromycin-induced ototoxicity.,azithromycin,12,24,ototoxicity,33,44
"Immobilization, while Paget's bone disease was present, and perhaps enhanced activation of dihydrotachysterol by rifampicin, could have led to increased calcium-release into the circulation.",dihydrotachysterol,91,109,increased calcium-release,143,168
Unaccountable severe hypercalcemia in a patient treated for hypoparathyroidism with dihydrotachysterol.,dihydrotachysterol,84,102,hypercalcemia,21,34
METHODS: We report two cases of pseudoporphyria caused by naproxen and oxaprozin.,naproxen,58,66,pseudoporphyria,32,47
METHODS: We report two cases of pseudoporphyria caused by naproxen and oxaprozin.,oxaprozin,71,80,pseudoporphyria,32,47
"Naproxen, the most common offender, has been associated with a dimorphic clinical pattern: a PCT-like presentation and one simulating erythropoietic protoporphyria in the pediatric population.",Naproxen,0,8,erythropoietic protoporphyria,134,163
RESULTS: A 44-year-old man taking naproxen for chronic low back pain and a 20-year-old woman on oxaprozin for rheumatoid arthritis presented with tense bullae and cutaneous fragility on the face and the back of the hands.,naproxen,34,42,cutaneous fragility,163,182
RESULTS: A 44-year-old man taking naproxen for chronic low back pain and a 20-year-old woman on oxaprozin for rheumatoid arthritis presented with tense bullae and cutaneous fragility on the face and the back of the hands.,oxaprozin,96,105,cutaneous fragility,163,182
RESULTS: A 44-year-old man taking naproxen for chronic low back pain and a 20-year-old woman on oxaprozin for rheumatoid arthritis presented with tense bullae and cutaneous fragility on the face and the back of the hands.,naproxen,34,42,tense bullae,146,158
RESULTS: A 44-year-old man taking naproxen for chronic low back pain and a 20-year-old woman on oxaprozin for rheumatoid arthritis presented with tense bullae and cutaneous fragility on the face and the back of the hands.,oxaprozin,96,105,tense bullae,146,158
BACKGROUND: How to best treat psychotic patients who have had past clozapine-induced agranulocytosis or granulocytopenia remains a problem.,clozapine,67,76,granulocytopenia,104,120
CONCLUSION: The results suggest that olanzapine may be useful in treating patients with clozapine-induced granulocytopenia without the risk of recurrence of hematologic side effects.,clozapine,88,97,granulocytopenia,106,122
Prolonged severe 5-fluorouracil-associated neurotoxicity in a patient with dihydropyrimidine dehydrogenase deficiency.,5-fluorouracil,17,31,neurotoxicity,43,56
"We describe the side effects of 5-FU in a colon cancer patient who suffered severe mucositis, desquamating dermatitis, prolonged myelosuppression, and neurologic toxicity that required admission to the intensive care unit.",5-FU,32,36,neurologic toxicity,151,170
"We describe the side effects of 5-FU in a colon cancer patient who suffered severe mucositis, desquamating dermatitis, prolonged myelosuppression, and neurologic toxicity that required admission to the intensive care unit.",5-FU,32,36,prolonged myelosuppression,119,145
"We describe the side effects of 5-FU in a colon cancer patient who suffered severe mucositis, desquamating dermatitis, prolonged myelosuppression, and neurologic toxicity that required admission to the intensive care unit.",5-FU,32,36,severe mucositis,76,92
"This case suggests that BH-AC, a derivative of cytosine arabinoside (1-beta-D-arabinofuranosylcytosine) could be a cause of reversible encephalopathy syndrome.",BH-AC,24,29,encephalopathy syndrome,135,158
"We report a case of reversible encephalopathy syndrome in a 16-year-old girl with acute myelogenous leukemia (AML), who is undergoing during consolidation chemotherapy composed of BH-AC (N4-behenoyl-1-beta-D-arabinofuranosyl cytosine) and idarubicin.",BH-AC,180,185,encephalopathy syndrome,31,54
"We report a case of reversible encephalopathy syndrome in a 16-year-old girl with acute myelogenous leukemia (AML), who is undergoing during consolidation chemotherapy composed of BH-AC (N4-behenoyl-1-beta-D-arabinofuranosyl cytosine) and idarubicin.",idarubicin,239,249,encephalopathy syndrome,31,54
"In one case, the readministration of riluzole was followed by the relapse of hepatitis.",riluzole,37,45,hepatitis,77,86
"We report the cases of two patients who developed acute hepatitis after taking riluzole at the recommended dose (100 mg daily) for 7 and 4 weeks, respectively.",riluzole,79,87,hepatitis,56,65
Lupus-like syndrome caused by 5-aminosalicylic acid in patients with inflammatory bowel disease.,5-aminosalicylic acid,30,51,Lupus-like syndrome,0,19
"Although the two local anesthetics usually do not cause methemoglobinemia, we suspect that the displacement of lidocaine from protein binding by bupivacaine, in combination with metabolic acidosis and treatment with other oxidants, was the reason for the development of methemoglobinemia.",lidocaine,111,120,methemoglobinemia,56,73
Methemoglobinemia after axillary block with bupivacaine and additional injection of lidocaine in the operative field.,bupivacaine,44,55,Methemoglobinemia,0,17
Methemoglobinemia after axillary block with bupivacaine and additional injection of lidocaine in the operative field.,lidocaine,84,93,Methemoglobinemia,0,17
We report a patient with chronic renal failure and ischemic heart disease who developed clinically significant methemoglobinemia after an axillary block with bupivacaine and additional injection of lidocaine in the operative field.,bupivacaine,158,169,methemoglobinemia,111,128
We report a patient with chronic renal failure and ischemic heart disease who developed clinically significant methemoglobinemia after an axillary block with bupivacaine and additional injection of lidocaine in the operative field.,lidocaine,198,207,methemoglobinemia,111,128
Detection of activated eosinophils in nasal polyps of an aspirin-induced asthma patient.,aspirin,57,64,asthma,73,79
An episode of subacute encephalopathy after the infusion of a moderate dose of methotrexate (1500 mg/m2) (MTX) is reported in a young adult with metastastic gastric cancer.,methotrexate,79,91,encephalopathy,23,37
"We believe that this represents an unusual case of moderate-dose MTX-induced neurotoxicity in a patient with gastric cancer, which has not previously been reported.",MTX,65,68,neurotoxicity,77,90
We describe a life threatening side effect of acute epoprostenol infusion (pulmonary edema) in a patient with pulmonary hypertension associated with limited scleroderma and discuss its management and potential etiology.,epoprostenol,52,64,pulmonary edema,75,90
A 14-year-old girl with newly diagnosed SLE developed a pruritic bullous eruption while on prednisone.,prednisone,91,101,pruritic bullous eruption,56,81
Hydroxyurea-induced acute interstitial pneumonitis in a patient with essential thrombocythemia.,Hydroxyurea,0,11,acute interstitial pneumonitis,20,50
The clinical course suggests that the interstitial pneumonitis was induced by hydroxyurea.,hydroxyurea,78,89,interstitial pneumonitis,38,62
This is the first case of hydroxyurea-induced acute interstitial pneumonitis reported in the literature.,hydroxyurea,26,37,acute interstitial pneumonitis,46,76
